epoch,lr,train_loss_avg,val_loss,val_mae,val_rmse,epoch_time_sec,gpu_mem_peak_mb
1,2.0000000000000003e-06,26.552072888682325,22.381931365966796,22.381933212280273,26.31285837975953,36.00277614593506,2990.80712890625
2,4.16e-05,17.110119515355922,13.95325314839681,13.953252792358398,18.797526030392437,36.027517557144165,2990.80712890625
3,8.12e-05,11.126292503297561,10.127421526590982,10.127422332763672,14.22595649279041,35.88812851905823,2990.80712890625
4,0.0001208,8.909167669162676,8.226042114257812,8.226042747497559,12.11331841033481,36.11022663116455,2990.80712890625
5,0.0001604,7.106142614602115,6.709710043589274,6.709709644317627,9.745776704512512,36.1077196598053,2990.80712890625
6,0.0002,5.913633889261387,6.1397772254943845,6.139777183532715,8.659278312371839,36.136590003967285,2990.80712890625
7,0.00019975677041844347,4.668855598464551,5.197661000569662,5.19766092300415,7.543022357072586,36.09192156791687,2990.80712890625
8,0.0001990282666638458,3.9806956071334128,4.861578669230143,4.861578941345215,7.002022859659719,36.15695595741272,2990.80712890625
9,0.0001978180379332705,3.606616416793853,4.757679379781087,4.757678985595703,6.78660744546909,36.14029574394226,2990.80712890625
10,0.00019613198033944116,3.2102167550691836,4.487241027832031,4.487241268157959,6.543223817323077,36.15663456916809,2990.80712890625
11,0.00019397830818547297,3.04689925050921,4.693178965886434,4.693179130554199,6.737573558851695,36.125365257263184,2990.80712890625
12,0.0001913675139456137,2.871179371492408,4.4161474329630535,4.416147232055664,6.374272922117826,36.21419644355774,2990.80712890625
13,0.00018831231714696388,2.614555499896929,4.33185647837321,4.331856727600098,6.397008864470126,36.19056820869446,2990.80712890625
14,0.00018482760240121914,2.38842627046637,5.151722628275554,5.151722431182861,7.483579844242744,36.18989324569702,2990.80712890625
15,0.00018093034688833852,2.2653665106584127,4.502336449941,4.502336502075195,6.576645202189222,36.22996735572815,2990.80712890625
16,0.00017663953764542994,2.1459099694448684,4.5148429145812985,4.514842987060547,6.506884816739155,36.15666317939758,2990.80712890625
17,0.00017197607906381431,2.00345054071701,4.422800458908081,4.422800064086914,6.502173720536926,36.18146014213562,2990.80712890625
18,0.000166962691044932,1.8831205662586346,4.278591954549154,4.278591632843018,6.343426776036707,36.1702823638916,2990.80712890625
19,0.00016162379831126698,1.8258545973885385,4.266361171086629,4.266361236572266,6.425567530640412,36.16348958015442,2990.80712890625
20,0.00015598541141155408,1.7398499013848805,4.364157203674316,4.364157199859619,6.460048259165111,36.1498658657074,2990.80712890625
21,0.00015007500000000003,1.6494789670877419,4.46308799235026,4.463088035583496,6.6141100936968815,36.138784885406494,2990.80712890625
22,0.0001439213590068894,1.6378936359390674,4.319920804341634,4.319920539855957,6.3516739088284275,36.100813150405884,2990.80712890625
23,0.00013755446835257885,1.4718216894201732,4.260517133712769,4.260517120361328,6.4443616130957295,36.14154362678528,2990.80712890625
24,0.00013100534688833854,1.4300583505908804,4.2749477551778154,4.274947643280029,6.408961471244197,36.11573314666748,2990.80712890625
25,0.00012430590127562687,1.4098819932585096,4.28892547861735,4.288925647735596,6.482738757225498,36.17882204055786,2990.80712890625
26,0.00011748877054004304,1.3293225384871783,4.2021086959838865,4.202108860015869,6.301250442659241,36.24634408950806,2990.80712890625
27,0.00011058716705727523,1.2385336496950587,4.20618426767985,4.206184387207031,6.309699919951343,36.225667238235474,2990.80712890625
28,0.00010363471474574477,1.1817706313114686,4.372209559758504,4.372209548950195,6.43554480036006,36.335811614990234,2990.80712890625
29,9.666528525425534e-05,1.170892680897323,4.289562577565511,4.289562702178955,6.209583062812256,36.333285331726074,2990.80712890625
30,8.971283294272484e-05,1.0961213547895854,4.159030829111735,4.159030914306641,6.171278835427841,36.19568347930908,2990.80712890625
31,8.281122945995703e-05,1.051628973001636,4.229957719167073,4.229957580566406,6.427834968162273,36.25434756278992,2990.80712890625
32,7.599409872437319e-05,1.0139405244983124,4.201265471140544,4.201265811920166,6.316036933099996,36.16187143325806,2990.80712890625
33,6.929465311166153e-05,0.9706208877526369,4.2029999783833825,4.203000068664551,6.385050312462368,36.1945743560791,2990.80712890625
34,6.27455316474212e-05,0.9243755148078681,4.251770309448242,4.25177001953125,6.315979555682771,36.156776428222656,2990.80712890625
35,5.6378640993110635e-05,0.8923548056457757,4.1932838376363115,4.193284034729004,6.241287262016685,36.26974534988403,2990.80712890625
36,5.022500000000004e-05,0.829464374697162,4.194139064788819,4.19413948059082,6.280980953698447,36.22602391242981,2990.80712890625
37,4.431458858844596e-05,0.8109522336651843,4.1269544328053795,4.126954555511475,6.1956720813050215,36.27845764160156,2990.80712890625
38,3.867620168873303e-05,0.7908767345814389,4.224421687444051,4.224421501159668,6.3706698203533465,36.198752641677856,2990.80712890625
39,3.3337308955068014e-05,0.7465562441237705,4.1820190823872885,4.182019233703613,6.279184789532296,36.285539865493774,2990.80712890625
40,2.832392093618569e-05,0.7153769835887716,4.229676679611206,4.229676246643066,6.399226809526728,36.22795391082764,2990.80712890625
41,2.3660462354570066e-05,0.7132918133114099,4.169211936950684,4.1692118644714355,6.294091302733734,36.23658275604248,2990.80712890625
42,1.9369653111661514e-05,0.6825504589405506,4.135014735539754,4.13501501083374,6.244654391203421,36.18246364593506,2990.80712890625
43,1.547239759878087e-05,0.6590830792712794,4.183838912963867,4.183838844299316,6.293873414664014,36.198943853378296,2990.80712890625
44,1.1987682853036166e-05,0.6528666491406437,4.195427655537923,4.195427894592285,6.337451833809044,36.301103591918945,2990.80712890625
45,8.932486054386318e-06,0.6356047352464282,4.2254954477945965,4.225495338439941,6.355870286370543,36.24230599403381,2990.80712890625
46,6.321691814527056e-06,0.6097283005018642,4.194166763941447,4.194166660308838,6.328424894032029,36.184467792510986,2990.80712890625
47,4.168019660558881e-06,0.601717751255759,4.190947490692139,4.19094705581665,6.328450512461314,36.18321347236633,2990.80712890625
48,2.481962066729503e-06,0.6049059127323358,4.1908323802947995,4.190832138061523,6.333509476203241,36.21470355987549,2990.80712890625
49,1.2717333361542107e-06,0.5972025431547647,4.206233604431152,4.206233501434326,6.351157087499699,36.230961322784424,2990.80712890625
50,5.432295815565539e-07,0.5939470711617154,4.198539475758871,4.198539733886719,6.333000810159005,36.195013999938965,2990.80712890625
